"log_id";"user";"trial";"new_answer";"new_certitude";"cant_answer";"isImprecis";"aHistory";"cHistory"
"1";"17660882";"1";"""Beagle""";"2";"0";"1";"""[""Beagle""]""";"""[""2""]"""
"2";"357924998";"3";"""Beagle""";"4";"0";"1";"""[""Beagle""]""";"""[""4""]"""
"3";"1547375846";"3";"""Beagle""";"1";"0";"1";"""[""Beagle""]""";"""[""1""]"""
"4";"1175410912";"0";"""Epagneul Breton""";"4";"0";"1";"""[""Beagle"",""Epagneul Breton""]""";"""[""4""]"""
"5";"133902583";"3";"";NULL;"1";"1";"";""
"6";"1828759798";"2";"""Epagneul Breton""";"2";"0";"1";"""[""Epagneul Breton""]""";"""[""2""]"""
"7";"1828759798";"3";"""Epagneul Breton""";"1";"0";"1";"""[""Epagneul Breton""]""";"""[""1""]"""
"8";"1025419493";"0";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"9";"1025419493";"3";"""Epagneul Breton""";"5";"0";"1";"""[""Epagneul Breton""]""";"""[""5""]"""
"10";"295922843";"3";"""Beagle""";"5";"0";"1";"""[""Beagle""]""";"""[""5""]"""
"11";"1587382219";"0";"""Epagneul Breton""";"4";"0";"1";"""[""Epagneul Breton""]""";"""[""4""]"""
